imagen,split,clase,detecciones,confianza_maxima,proporcion_mascara,estado,error
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_770ab464.jpg,Test,Blackspot,1,0.04488,0.65305,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_775cb7a1.jpg,Test,Blackspot,1,0.040432,0.697731,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_788df4a8.jpg,Test,Blackspot,2,0.058238,0.685548,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_7ab4b33d.jpg,Test,Blackspot,1,0.035747,0.627859,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_7d170124.jpg,Test,Blackspot,1,0.038415,0.594086,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_7e1f4841.jpg,Test,Blackspot,1,0.045066,0.650714,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_7f58282e.jpg,Test,Blackspot,1,0.048469,0.572078,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_81756c09.jpg,Test,Blackspot,1,0.04198,0.678798,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_819c6d36.jpg,Test,Blackspot,2,0.047883,0.654583,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_8338a2d0.jpg,Test,Blackspot,1,0.043112,0.599605,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_866fda86.jpg,Test,Blackspot,1,0.036407,0.581344,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_86e1633b.jpg,Test,Blackspot,1,0.040969,0.651708,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_871d0308.jpg,Test,Blackspot,1,0.046396,0.676878,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_87d03ee6.jpg,Test,Blackspot,1,0.052566,0.685939,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_88cfc71c.jpg,Test,Blackspot,2,0.044359,0.670767,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_899fe7a5.jpg,Test,Blackspot,1,0.034354,0.674638,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_902b6d8d.jpg,Test,Blackspot,1,0.041206,0.683972,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_90fbebce.jpg,Test,Blackspot,1,0.04723,0.652803,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_913009f3.jpg,Test,Blackspot,1,0.036269,0.681853,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_924a803a.jpg,Test,Blackspot,1,0.04319,0.727159,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_938635b2.jpg,Test,Blackspot,1,0.040907,0.64163,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_969dd5f1.jpg,Test,Blackspot,1,0.03671,0.696709,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_99700806.jpg,Test,Blackspot,1,0.044852,0.655731,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_998358cc.jpg,Test,Blackspot,1,0.040912,0.685536,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_9b58eb16.jpg,Test,Blackspot,2,0.039776,0.544588,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_a038327d.jpg,Test,Blackspot,1,0.036857,0.689,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_a1a56d2c.jpg,Test,Blackspot,1,0.044595,0.682489,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_a1e5b6d4.jpg,Test,Blackspot,1,0.038459,0.60032,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_a977e246.jpg,Test,Blackspot,2,0.041266,0.615027,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_aad9e10e.jpg,Test,Blackspot,1,0.035287,0.651352,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_ad9a6e08.jpg,Test,Blackspot,1,0.041612,0.631842,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_adaee877.jpg,Test,Blackspot,1,0.043738,0.64855,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_afae4f83.jpg,Test,Blackspot,1,0.040053,0.590159,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_b16af0c6.jpg,Test,Blackspot,1,0.055302,0.567067,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_b592f300.jpg,Test,Blackspot,1,0.049517,0.635413,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_b6e012d9.jpg,Test,Blackspot,1,0.043183,0.621036,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_bc8fd9d5.jpg,Test,Blackspot,2,0.042774,0.676519,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_bd07d002.jpg,Test,Blackspot,1,0.048669,0.718231,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_bf476485.jpg,Test,Blackspot,1,0.040867,0.674761,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_c1de8d1a.jpg,Test,Blackspot,1,0.040136,0.647708,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_c21e7bd7.jpg,Test,Blackspot,1,0.045523,0.6256,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_c30c7385.jpg,Test,Blackspot,1,0.047528,0.693245,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_c48c95ef.jpg,Test,Blackspot,2,0.05012,0.587652,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_c5aa69ab.jpg,Test,Blackspot,1,0.038702,0.659692,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_c7d31597.jpg,Test,Blackspot,1,0.041062,0.659613,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_c96e7727.jpg,Test,Blackspot,1,0.034878,0.650369,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_ce26f6ff.jpg,Test,Blackspot,1,0.039855,0.642456,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_d0f0c653.jpg,Test,Blackspot,1,0.048122,0.604389,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_d1ba841e.jpg,Test,Blackspot,1,0.043927,0.68747,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_d25f32ea.jpg,Test,Blackspot,1,0.048409,0.604264,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_d2de018b.jpg,Test,Blackspot,1,0.038344,0.586002,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_d2fa1b0b.jpg,Test,Blackspot,1,0.042462,0.697342,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_d6f7380a.jpg,Test,Blackspot,1,0.038402,0.653822,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_d7452c47.jpg,Test,Blackspot,1,0.040049,0.687695,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_da608e16.jpg,Test,Blackspot,1,0.04594,0.626355,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_dbcf3bf4.jpg,Test,Blackspot,1,0.03667,0.72513,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_dcae153e.jpg,Test,Blackspot,1,0.044292,0.608402,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_dcf8d7aa.jpg,Test,Blackspot,2,0.044128,0.650262,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_e3b7554a.jpg,Test,Blackspot,2,0.058238,0.685548,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_e5dadce9.jpg,Test,Blackspot,1,0.0446,0.641255,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_ea1334cc.jpg,Test,Blackspot,1,0.035283,0.674222,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_eb3603f4.jpg,Test,Blackspot,1,0.041848,0.657834,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_ecd93495.jpg,Test,Blackspot,1,0.042018,0.626055,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_efb30751.jpg,Test,Blackspot,1,0.043122,0.581428,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_f0150802.jpg,Test,Blackspot,1,0.042253,0.550381,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_f02b291a.jpg,Test,Blackspot,1,0.04389,0.665562,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_f06a0d35.jpg,Test,Blackspot,1,0.041206,0.683972,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_f1207172.jpg,Test,Blackspot,1,0.046643,0.589527,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_f122b3cd.jpg,Test,Blackspot,1,0.057821,0.672336,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_f1bc69e6.jpg,Test,Blackspot,1,0.046263,0.613066,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_f2f93c71.jpg,Test,Blackspot,1,0.048267,0.684787,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_f33a1f7e.jpg,Test,Blackspot,1,0.038004,0.614827,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_f4e44c9f.jpg,Test,Blackspot,1,0.04351,0.617197,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_f7b9a863.jpg,Test,Blackspot,1,0.046598,0.656573,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_f84f1cc1.jpg,Test,Blackspot,1,0.038691,0.722069,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_faba5fa1.jpg,Test,Blackspot,1,0.036179,0.689475,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_fabdbf70.jpg,Test,Blackspot,1,0.043126,0.590583,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_fb4f0f46.jpg,Test,Blackspot,1,0.034937,0.667859,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_fc2ea720.jpg,Test,Blackspot,1,0.044514,0.608411,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_fcfb84d9.jpg,Test,Blackspot,1,0.040499,0.656764,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_0200c09e.jpg,Test,Canker,1,0.049179,0.529899,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_04c02804.jpg,Test,Canker,1,0.035732,0.179093,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_06d04ab9.jpg,Test,Canker,1,0.031667,0.640922,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_07bbee33.jpg,Test,Canker,1,0.034875,0.202814,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_08140464.jpg,Test,Canker,1,0.039068,0.706113,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_0932bbf9.jpg,Test,Canker,1,0.048334,0.254015,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_0b59dfcd.jpg,Test,Canker,1,0.047224,0.47127,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_0bc54c4c.jpg,Test,Canker,1,0.047077,0.428207,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_0c5911bd.jpg,Test,Canker,1,0.051218,0.461683,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_0cfaa427.jpg,Test,Canker,2,0.04311,0.277779,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_0da82dfa.jpg,Test,Canker,1,0.044141,0.166966,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_0daaf766.jpg,Test,Canker,1,0.042634,0.29069,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_10edaf30.jpg,Test,Canker,1,0.040827,0.159376,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_11db9af7.jpg,Test,Canker,1,0.030455,0.106242,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_12e5a4e1.jpg,Test,Canker,1,0.039283,0.674446,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1486e146.jpg,Test,Canker,1,0.026506,0.112218,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_15123173.jpg,Test,Canker,1,0.043789,0.610959,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_15d46cfa.jpg,Test,Canker,1,0.052249,0.487606,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_16058207.jpg,Test,Canker,1,0.034008,0.197279,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1613259d.jpg,Test,Canker,1,0.02795,0.106041,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1711d48c.jpg,Test,Canker,1,0.049287,0.19214,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_19e61351.jpg,Test,Canker,2,0.038229,0.649594,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1ab017b2.jpg,Test,Canker,1,0.04858,0.246324,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1ad0fb04.jpg,Test,Canker,1,0.043951,0.294778,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1ae5bf97.jpg,Test,Canker,1,0.027156,0.102312,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1c376ae0.jpg,Test,Canker,1,0.042288,0.252152,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1c521145.jpg,Test,Canker,1,0.040113,0.685472,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1cb519ea.jpg,Test,Canker,1,0.048498,0.407143,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1d641981.jpg,Test,Canker,1,0.039115,0.623336,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1f539285.jpg,Test,Canker,1,0.023806,0.07123,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_1f652e28.jpg,Test,Canker,1,0.033615,0.111704,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_20e3b0e8.jpg,Test,Canker,1,0.037402,0.205951,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_2205795b.jpg,Test,Canker,1,0.052931,0.67373,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_2226b75d.jpg,Test,Canker,1,0.040628,0.208676,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_23a84de5.jpg,Test,Canker,2,0.04652,0.613959,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_26aa1309.jpg,Test,Canker,1,0.042754,0.482208,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_2705352b.jpg,Test,Canker,3,0.048342,0.675664,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_2a5f0cc3.jpg,Test,Canker,1,0.050891,0.599617,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_2b894744.jpg,Test,Canker,1,0.037936,0.65012,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_2cf6bc58.jpg,Test,Canker,1,0.053804,0.250442,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_2d17812d.jpg,Test,Canker,1,0.06552,0.632525,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Canker\Canker_2e2d0c54.jpg,Test,Canker,1,0.039782,0.235988,OK,
